cause_event_type,effect_event_type,count
Conquering,Control,23
Motion,Self_motion,23
Catastrophe,Preventing_or_letting,23
Arriving,Catastrophe,23
Motion_directional,Killing,22
Use_firearm,Check,22
Competition,Statement,22
Killing,Motion,22
Arriving,Motion,22
Self_motion,Catastrophe,22
Presence,Statement,22
Creating,Motion,22
Attack,Sending,22
Self_motion,Bodily_harm,22
Hostile_encounter,Bringing,22
Defending,Attack,22
Departing,Catastrophe,22
Traveling,Getting,22
Conquering,Earnings_and_losses,22
Military_operation,Damaging,22
Choosing,Competition,22
Competition,Receiving,22
Hostile_encounter,Response,22
Catastrophe,Confronting_problem,22
Catastrophe,Filling,22
Use_firearm,Expressing_publicly,21
Process_start,Creating,21
Competition,Action,21
Coming_to_be,Judgment_communication,21
Creating,Process_start,21
Killing,Scrutiny,21
Attack,Criminal_investigation,21
Arranging,Motion,21
Arriving,Destroying,21
Presence,Destroying,21
Social_event,Social_event,21
Motion,Coming_to_be,21
Besieging,Conquering,21
Traveling,Expressing_publicly,21
Social_event,Process_start,21
Coming_to_be,Perception_active,21
Catastrophe,Conquering,21
Change_of_leadership,Change_of_leadership,21
Sending,Conquering,21
Terrorism,Judgment_communication,21
Competition,Bringing,21
Traveling,Traveling,21
Competition,Destroying,21
Process_start,Bodily_harm,20
Catastrophe,Scouring,20
Escaping,Conquering,20
Besieging,Killing,20
Arriving,Damaging,20
Attack,Scrutiny,20
Motion,Earnings_and_losses,20
Creating,Damaging,20
Arranging,Conquering,20
Motion,Becoming,20
Military_operation,Escaping,20
Cause_change_of_position_on_a_scale,Cause_change_of_position_on_a_scale,20
Conquering,Motion,20
Hostile_encounter,Arrest,20
Attack,Receiving,20
Hostile_encounter,Sign_agreement,20
Terrorism,Legal_rulings,20
Creating,Creating,20
Attack,Military_operation,20
Catastrophe,Achieve,20
Motion,Reporting,20
Terrorism,Arrest,20
Hostile_encounter,Supporting,19
Use_firearm,Arrest,19
Traveling,Self_motion,19
Traveling,Presence,19
Social_event,Placing,19
Use_firearm,Use_firearm,19
Change_of_leadership,Hostile_encounter,19
Escaping,Arriving,19
Social_event,Defending,19
Destroying,Death,19
Military_operation,Bodily_harm,19
Testing,Testing,19
Change_of_leadership,Creating,19
Destroying,Escaping,19
Terrorism,Attack,19
Protest,Statement,19
Hold,Earnings_and_losses,19
Hold,Social_event,19
Coming_to_be,Recovering,19
Traveling,Placing,19
Cause_to_make_progress,Cause_change_of_strength,19
Control,Escaping,18
Social_event,Becoming,18
Motion,Action,18
Cause_change_of_strength,Getting,18
Motion_directional,Motion,18
Arranging,Self_motion,18
Social_event,Getting,18
Removing,Conquering,18
Attack,Prison,18
Agree_or_refuse_to_act,Attack,18
Motion_directional,Attack,18
Cause_change_of_position_on_a_scale,Cause_change_of_strength,18
Process_start,Escaping,18
Hostile_encounter,Self_motion,18
Hostile_encounter,Defending,18
Committing_crime,Legal_rulings,18
Traveling,Know,18
Catastrophe,Receiving,18
Defending,Defending,18
Process_start,Arriving,18
Conquering,Hostile_encounter,18
Hostile_encounter,Convincing,18
Hold,Getting,18
Attack,Arranging,18
Hostile_encounter,Know,18
Self_motion,Process_end,17
Motion,Judgment_communication,17
Process_start,Removing,17
Control,Hostile_encounter,17
Motion,Preventing_or_letting,17
Competition,Know,17
Motion_directional,Destroying,17
Sending,Attack,17
Social_event,Name_conferral,17
Change_of_leadership,Attack,17
Arriving,Self_motion,17
Destroying,Destroying,17
Getting,Becoming,17
Committing_crime,Request,17
Motion,Know,17
Social_event,Change,17
Change_of_leadership,Legal_rulings,17
Killing,Cause_change_of_position_on_a_scale,17
Presence,Death,17
Destroying,Bodily_harm,17
Self_motion,Damaging,17
Presence,Motion,17
Protest,Judgment_communication,17
Choosing,Judgment_communication,17
Arranging,Terrorism,17
Process_start,Expressing_publicly,17
Change_of_leadership,Hindering,17
Process_start,Cause_change_of_position_on_a_scale,17
Expressing_publicly,Process_end,17
Attack,Dispersal,17
Competition,Cause_to_make_progress,17
Hostile_encounter,Violence,17
Damaging,Killing,17
Creating,Competition,17
Catastrophe,Cure,17
Violence,Violence,16
Conquering,Arriving,16
Attack,Committing_crime,16
Killing,Giving,16
Social_event,Giving,16
Social_event,Earnings_and_losses,16
Competition,Preventing_or_letting,16
Coming_to_be,Preventing_or_letting,16
Action,Conquering,16
Process_start,Social_event,16
Motion,Getting,16
Hostile_encounter,GiveUp,16
Testing,Catastrophe,16
Catastrophe,Expansion,16
Presence,Catastrophe,16
Request,Agree_or_refuse_to_act,16
Arranging,Process_start,16
Attack,Submitting_documents,16
Change_of_leadership,Statement,16
Social_event,Create_artwork,16
Creating,Hold,16
Coming_to_be,Departing,16
Attack,Departing,16
Conquering,Becoming,16
Military_operation,Arriving,16
Military_operation,Surrendering,16
Attack,Placing,16
Damaging,Damaging,16
Catastrophe,Military_operation,16
Arranging,Hold,16
Creating,Attack,16
Competition,Expressing_publicly,16
Competition,Cause_change_of_position_on_a_scale,16
Death,Expressing_publicly,16
Catastrophe,Reforming_a_system,16
Traveling,Becoming,16
Military_operation,Name_conferral,16
Committing_crime,Receiving,15
Destroying,Conquering,15
Action,Judgment_communication,15
Know,Legal_rulings,15
Competition,Process_start,15
Earnings_and_losses,Bodily_harm,15
Earnings_and_losses,Earnings_and_losses,15
Hostile_encounter,Prison,15
Hostile_encounter,Recovering,15
Arriving,Process_end,15
Process_start,Cause_to_make_progress,15
Motion,Influence,15
Process_start,Self_motion,15
Arranging,Change_event_time,15
Coming_to_be,Escaping,15
Getting,Getting,15
Military_operation,Self_motion,15
Arriving,Earnings_and_losses,15
Committing_crime,Arrest,15
Arrest,Judgment_communication,15
Besieging,Surrendering,15
Hold,Becoming,15
Motion_directional,Arriving,15
Arranging,Hostile_encounter,15
Catastrophe,Hiding_objects,15
Self_motion,Hostile_encounter,15
Hostile_encounter,Placing,15
Escaping,Escaping,15
Motion,Telling,15
Attack,Quarreling,15
Getting,Process_end,15
Hostile_encounter,Receiving,15
Bodily_harm,Killing,15
Attack,Recording,15
Social_event,Preventing_or_letting,15
Killing,Influence,15
Traveling,Bodily_harm,15
Change_of_leadership,Destroying,15
Judgment_communication,Statement,15
Violence,Committing_crime,15
Motion,Motion_directional,15
Hold,Conquering,15
Social_event,Cause_to_make_progress,15
Cause_change_of_strength,Change,15
Hostile_encounter,Dispersal,15
Arranging,Process_end,15
Change_of_leadership,Name_conferral,15
Placing,Attack,15
Change_of_leadership,Communication,15
Cause_to_make_progress,Catastrophe,15
Traveling,Communication,15
Judgment_communication,Legal_rulings,14
Killing,Escaping,14
Control,Killing,14
Social_event,Presence,14
Competition,Sending,14
Competition,Hostile_encounter,14
Request,Self_motion,14
Earnings_and_losses,Attack,14
Coming_to_be,Hostile_encounter,14
Attack,Process_start,14
Process_start,Placing,14
Know,Attack,14
Change_of_leadership,Control,14
Arriving,Cause_change_of_strength,14
Attack,Reveal_secret,14
Arranging,Arriving,14
Destroying,Motion,14
Military_operation,Hostile_encounter,14
Social_event,Reporting,14
Military_operation,Getting,14
Hold,Giving,14
Change_of_leadership,Escaping,14
Conquering,Statement,14
Hold,Hold,14
Hold,Statement,14
Coming_to_be,Arranging,14
Coming_to_be,Check,14
Military_operation,Statement,14
Catastrophe,Response,14
Attack,Achieve,14
Killing,Damaging,14
Process_start,Traveling,14
Hostile_encounter,Rewards_and_punishments,14
Self_motion,Know,14
Process_start,Agree_or_refuse_to_act,14
Preventing_or_letting,Motion,14
Cause_change_of_position_on_a_scale,Becoming,14
Coming_to_be,Telling,14
Hostile_encounter,Change_of_leadership,14
Besieging,Hostile_encounter,14
Deciding,Attack,14
Attack,Sign_agreement,14
Coming_to_be,Hold,14
Commerce_buy,Killing,14
Military_operation,Change,14
Catastrophe,Process_start,14
Catastrophe,Temporary_stay,14
Arriving,Use_firearm,14
Earnings_and_losses,Killing,14
Action,Destroying,14
Action,Attack,14
Attack,Rewards_and_punishments,14
Catastrophe,Submitting_documents,14
Arranging,Earnings_and_losses,14
Control,Catastrophe,14
Being_in_operation,Catastrophe,14
Getting,Attack,14
Death,Reporting,14
Conquering,Surrendering,14
Killing,Creating,14
Catastrophe,Come_together,14
Committing_crime,Damaging,14
Motion,Removing,13
Committing_crime,Judgment_communication,13
Know,Motion,13
Death,Rite,13
Arriving,Departing,13
Process_start,Change,13
Social_event,Perception_active,13
Process_start,Judgment_communication,13
Competition,Placing,13
Earnings_and_losses,Process_end,13
Process_start,Know,13
Cause_change_of_position_on_a_scale,Motion,13
Creating,Destroying,13
Violence,Arrest,13
Conquering,Recovering,13
Request,Surrendering,13
Hostile_encounter,Hindering,13
Self_motion,Cause_change_of_position_on_a_scale,13
Arriving,Hostile_encounter,13
Hold,Bodily_harm,13
Cause_change_of_position_on_a_scale,Arriving,13
Arriving,Death,13
Change_of_leadership,Self_motion,13
Conquering,Removing,13
Creating,Becoming,13
Attack,Rescuing,13
Motion,Control,13
Military_operation,Request,13
Arranging,Escaping,13
Manufacturing,Damaging,13
Attack,Communication,13
Coming_to_be,Recording,13
Change_of_leadership,Becoming,13
Military_operation,Use_firearm,13
Killing,Request,13
Hold,Motion,13
Conquering,Defending,13
Catastrophe,Change_sentiment,13
Hostile_encounter,Action,13
Sign_agreement,Process_end,13
Coming_to_be,Cause_to_amalgamate,13
Process_start,Giving,13
Coming_to_be,Warning,13
Presence,Process_end,13
Killing,Committing_crime,13
Attack,Deciding,13
Attack,Becoming,13
Motion_directional,Damaging,13
Use_firearm,Catastrophe,13
Change_of_leadership,Preventing_or_letting,13
Departing,Arriving,13
Conquering,Change_of_leadership,13
Attack,Besieging,13
Conquering,Agree_or_refuse_to_act,13
Arranging,Preventing_or_letting,13
Know,Self_motion,13
Process_end,Process_end,13
Coming_to_be,Temporary_stay,13
Attack,Coming_to_be,13
Conquering,Recording,13
Creating,Presence,13
Preventing_or_letting,Arriving,13
Creating,Giving,13
Process_start,Expansion,13
Action,Bodily_harm,13
Process_start,Damaging,13
Process_start,Coming_to_be,13
Violence,Protest,13
Social_event,Temporary_stay,13
Hostile_encounter,Perception_active,13
Catastrophe,Telling,13
Earnings_and_losses,Conquering,13
Presence,Influence,13
Getting,Earnings_and_losses,13
Arriving,Preventing_or_letting,13
Hostile_encounter,Influence,13
Departing,Motion,13
Competition,Coming_to_believe,13
Military_operation,Know,13
Motion_directional,Self_motion,13
Military_operation,Recovering,13
Process_start,Cause_change_of_strength,13
Traveling,Destroying,13
Competition,Arranging,13
Cause_to_make_progress,Self_motion,12
Cause_to_make_progress,Motion,12
Arriving,Cause_change_of_position_on_a_scale,12
Earnings_and_losses,Motion,12
Arriving,Arriving,12
Process_start,Perception_active,12
Process_start,Influence,12
Use_firearm,Reveal_secret,12
Presence,Expressing_publicly,12
Process_end,Change,12
Creating,Statement,12
Cause_change_of_position_on_a_scale,Destroying,12
Killing,Attack,12
Request,Attack,12
Killing,Removing,12
Killing,Building,12
Attack,Warning,12
Process_start,Building,12
Killing,Action,12
Arriving,Know,12
Social_event,Self_motion,12
Arriving,Control,12
Scrutiny,Know,12
Use_firearm,Attack,12
Killing,Use_firearm,12
Kidnapping,Arrest,12
Agree_or_refuse_to_act,Process_end,12
Destroying,Earnings_and_losses,12
Arriving,Removing,12
Motion,Placing,12
Criminal_investigation,Coming_to_believe,12
Presence,Conquering,12
Presence,Judgment_communication,12
Committing_crime,Statement,12
Hold,Arriving,12
Arranging,Statement,12
Hostile_encounter,Publishing,12
Arranging,Getting,12
Killing,Reporting,12
Expressing_publicly,Hostile_encounter,12
Departing,Self_motion,12
Destroying,Catastrophe,12
Coming_to_be,Placing,12
Process_start,Action,12
Killing,Process_end,12
Destroying,Damaging,12
Change_of_leadership,Change,12
Know,Destroying,12
Coming_to_be,Coming_to_believe,12
Coming_to_be,Conquering,12
Motion,Departing,12
Hostile_encounter,Deciding,12
Traveling,Choosing,12
Traveling,Response,12
Hostile_encounter,Assistance,12
Traveling,Change,12
Motion_directional,Bodily_harm,12
Choosing,Statement,12
Hostile_encounter,Confronting_problem,12
Catastrophe,Employment,12
Escaping,Attack,12
Process_start,Bringing,12
Action,Statement,12
Coming_to_be,Expansion,12
Control,Arriving,12
Self_motion,Motion_directional,12
Hostile_encounter,Request,12
Competition,Come_together,12
Coming_to_be,Preserving,12
Military_operation,Action,12
Arriving,Change,12
Attack,Kidnapping,12
Cause_change_of_strength,Motion_directional,12
Traveling,Motion,12
Traveling,Bringing,12
Military_operation,Control,12
Competition,Deciding,12
Military_operation,Sign_agreement,12
Social_event,Supply,12
Response,Removing,12
Cause_to_make_progress,Conquering,11
Coming_to_be,Receiving,11
Request,Legal_rulings,11
Request,Killing,11
Control,Self_motion,11
Escaping,Self_motion,11
Process_start,Recording,11
Use_firearm,Receiving,11
Besieging,Process_end,11
Social_event,Coming_to_be,11
Arranging,Arranging,11
Social_event,Commerce_sell,11
Competition,Motion,11
Motion,Legal_rulings,11
Request,Preventing_or_letting,11
Motion,Creating,11
Killing,Social_event,11
Self_motion,Reporting,11
Process_start,Achieve,11
Becoming,Motion,11
Arriving,Process_start,11
Hold,Killing,11
Expressing_publicly,Change,11
Bodily_harm,Attack,11
Removing,Protest,11
Coming_to_be,Name_conferral,11
Kidnapping,Bodily_harm,11
Presence,Reporting,11
Becoming,Becoming,11
Hold,Self_motion,11
Attack,Assistance,11
Change_of_leadership,Agree_or_refuse_to_act,11
Arranging,Bodily_harm,11
Hold,Expressing_publicly,11
Hostile_encounter,Reporting,11
Arranging,Cause_change_of_position_on_a_scale,11
Catastrophe,Change_of_leadership,11
Killing,Placing,11
Use_firearm,Know,11
Cause_change_of_strength,Destroying,11
Motion,Expressing_publicly,11
Request,Defending,11
Process_end,Hostile_encounter,11
Social_event,Change_of_leadership,11
Motion,Request,11
Social_event,Bringing,11
Social_event,Assistance,11
Getting,Competition,11
Getting,Conquering,11
Besieging,Escaping,11
Terrorism,Criminal_investigation,11
Becoming,Attack,11
Conquering,Giving,11
Motion,Assistance,11
Committing_crime,Releasing,11
Arrest,Committing_crime,11
Catastrophe,Having_or_lacking_access,11
Influence,Damaging,11
Coming_to_be,Sending,11
Conquering,Destroying,11
Hostile_encounter,Limiting,11
Choosing,Expressing_publicly,11
Use_firearm,Reporting,11
Use_firearm,Communication,11
Social_event,Convincing,11
Presence,Presence,11
Kidnapping,Catastrophe,11
Military_operation,Becoming,11
Motion_directional,Becoming,11
Social_event,Destroying,11
Hold,Communication,11
Process_end,Earnings_and_losses,11
Death,Convincing,11
Social_event,Death,11
Competition,Publishing,11
Competition,Assistance,11
Communication,Agree_or_refuse_to_act,11
Hold,Bringing,11
Cause_change_of_position_on_a_scale,Change,11
Competition,Influence,11
Attack,Violence,11
Self_motion,Earnings_and_losses,11
Conquering,Bodily_harm,11
Arriving,Statement,11
Cause_to_make_progress,Becoming,11
Self_motion,Departing,10
Process_start,Preventing_or_letting,10
Use_firearm,Deciding,10
Use_firearm,Building,10
Preventing_or_letting,Attack,10
Request,Removing,10
Creating,Process_end,10
Motion,Perception_active,10
Influence,Death,10
Coming_to_be,Rescuing,10
Killing,Change,10
Attack,Social_event,10
Attack,Commitment,10
Hostile_encounter,Change_event_time,10
Death,Judgment_communication,10
Creating,Expansion,10
Committing_crime,Criminal_investigation,10
Arriving,Defending,10
Hostile_encounter,Expressing_publicly,10
Change_of_leadership,Choosing,10
Coming_to_be,Giving,10
Motion_directional,Catastrophe,10
Attack,Becoming_a_member,10
Destroying,Recovering,10
Hold,Preventing_or_letting,10
Hold,Choosing,10
Process_start,Control,10
Defending,Bodily_harm,10
Self_motion,Judgment_communication,10
Violence,Request,10
Death,Process_start,10
Social_event,Reveal_secret,10
Destroying,Know,10
Judgment_communication,Request,10
Change_of_leadership,Killing,10
Influence,Social_event,10
Death,Social_event,10
Damaging,Motion,10
Arranging,Destroying,10
Destroying,Arriving,10
Motion,Temporary_stay,10
Traveling,Process_end,10
Presence,Damaging,10
Influence,Killing,10
Coming_to_be,Hindering,10
Motion,Supply,10
Arrest,Legal_rulings,10
Placing,Know,10
Agree_or_refuse_to_act,Preventing_or_letting,10
Killing,Preventing_or_letting,10
Arranging,Becoming,10
Preventing_or_letting,Conquering,10
Cause_change_of_position_on_a_scale,Attack,10
Conquering,Bringing,10
Destroying,Self_motion,10
Hostile_encounter,Process_start,10
Request,Know,10
Judgment_communication,Killing,10
Process_start,Arrest,10
Motion,Presence,10
Arranging,Control,10
Besieging,Destroying,10
Arrest,Killing,10
Military_operation,Resolve_problem,10
Process_start,Receiving,10
Attack,Change_event_time,10
Process_start,Defending,10
Sign_agreement,Change_of_leadership,10
Creating,Judgment_communication,10
Earnings_and_losses,Getting,10
Testing,Action,10
Hold,Presence,10
Defending,Earnings_and_losses,10
Violence,Damaging,10
Violence,Change_of_leadership,10
Request,Escaping,10
Creating,Supporting,10
Choosing,Creating,10
Motion,Change,10
Earnings_and_losses,Catastrophe,10
Hostile_encounter,Robbery,10
Creating,Coming_to_be,10
Violence,Earnings_and_losses,10
Hostile_encounter,Preserving,10
Military_operation,Cause_change_of_strength,10
Coming_to_be,Assistance,10
Arriving,Getting,10
Hostile_encounter,Besieging,10
Hostile_encounter,Achieve,10
Request,Motion_directional,10
Traveling,Process_start,10
Attack,Releasing,10
Protest,Change_of_leadership,10
Action,Process_end,10
Military_operation,Expansion,10
Creating,Arriving,10
Military_operation,Giving,10
Traveling,Becoming_a_member,10
Publishing,Supporting,10
Terrorism,Perception_active,10
Arranging,Traveling,10
Education_teaching,Criminal_investigation,10
Education_teaching,Death,10
Social_event,Deciding,10
Bodily_harm,Damaging,10
Competition,Bodily_harm,10
Attack,Building,10
Sign_agreement,Traveling,10
Military_operation,Emptying,10
Catastrophe,Commitment,10
Terrorism,Hostile_encounter,10
Self_motion,Dispersal,9
Placing,Death,9
Agree_or_refuse_to_act,Death,9
Death,Legal_rulings,9
Legal_rulings,Rewards_and_punishments,9
Process_start,Hindering,9
Besieging,Death,9
Presence,Perception_active,9
Social_event,Action,9
Arranging,Expressing_publicly,9
Arranging,Communication,9
Escaping,Killing,9
Earnings_and_losses,Preventing_or_letting,9
Death,Change_of_leadership,9
Destroying,Departing,9
Creating,Expressing_publicly,9
Escaping,Process_end,9
Process_start,Sending,9
Death,Scrutiny,9
Killing,Arranging,9
Influence,Destroying,9
Arranging,Defending,9
Self_motion,Sending,9
Hostile_encounter,Motion_directional,9
Request,Assistance,9
Process_start,Presence,9
Request,Sending,9
Becoming,Catastrophe,9
Being_in_operation,Preventing_or_letting,9
Earnings_and_losses,Recovering,9
Self_motion,Arrest,9
Committing_crime,Prison,9
