cause_event_type,effect_event_type,count,pct_all_causal_relations,pct_of_cause_type
Competition,Change,33,0.0618,2.2163
Self_motion,Destroying,32,0.0600,4.2497
Arriving,Attack,32,0.0600,4.2497
Process_start,Motion,32,0.0600,2.4521
Self_motion,Self_motion,32,0.0600,4.2497
Self_motion,Motion,32,0.0600,4.2497
Military_operation,Process_end,32,0.0600,3.5754
Catastrophe,Action,32,0.0600,0.2884
Motion,Conquering,31,0.0581,2.3901
Attack,Hindering,31,0.0581,0.7565
Killing,Legal_rulings,31,0.0581,3.1795
Change_of_leadership,Process_end,31,0.0581,5.4867
Military_operation,Earnings_and_losses,31,0.0581,3.4637
Catastrophe,Process_end,31,0.0581,0.2794
Catastrophe,Hold,31,0.0581,0.2794
Conquering,Process_end,31,0.0581,4.0417
Motion,Cause_change_of_strength,31,0.0581,2.3901
Social_event,Expressing_publicly,30,0.0562,2.3493
Social_event,Supporting,30,0.0562,2.3493
Cause_change_of_strength,Catastrophe,30,0.0562,7.5949
Catastrophe,Research,30,0.0562,0.2704
Attack,Motion_directional,30,0.0562,0.7321
Military_operation,Agree_or_refuse_to_act,30,0.0562,3.3520
Use_firearm,Destroying,30,0.0562,3.9474
Catastrophe,Recovering,30,0.0562,0.2704
Attack,Action,30,0.0562,0.7321
Attack,Surrendering,30,0.0562,0.7321
Traveling,Competition,30,0.0562,2.8011
Hostile_encounter,Departing,30,0.0562,0.9588
Violence,Judgment_communication,29,0.0543,6.6667
Coming_to_be,Earnings_and_losses,29,0.0543,0.8123
Hostile_encounter,Cause_change_of_strength,29,0.0543,0.9268
Conquering,Escaping,29,0.0543,3.7810
Competition,Becoming,29,0.0543,1.9476
Attack,Giving,29,0.0543,0.7077
Attack,Creating,29,0.0543,0.7077
Attack,Hold,29,0.0543,0.7077
Social_event,Expansion,29,0.0543,2.2709
Hostile_encounter,Arriving,29,0.0543,0.9268
Conquering,Attack,29,0.0543,3.7810
Catastrophe,Warning,29,0.0543,0.2614
Competition,Name_conferral,29,0.0543,1.9476
Death,Placing,28,0.0525,5.9574
Cause_change_of_strength,Dispersal,28,0.0525,7.0886
Self_motion,Death,28,0.0525,3.7185
Attack,Control,28,0.0525,0.6833
Catastrophe,Writing,28,0.0525,0.2524
Coming_to_be,Reporting,28,0.0525,0.7843
Self_motion,Arriving,28,0.0525,3.7185
Competition,Preserving,28,0.0525,1.8805
Traveling,Hold,28,0.0525,2.6144
Process_start,Hold,27,0.0506,2.0690
Arranging,Attack,27,0.0506,3.5387
Hostile_encounter,Catastrophe,27,0.0506,0.8629
Hostile_encounter,Creating,27,0.0506,0.8629
Attack,Protest,27,0.0506,0.6589
Destroying,Killing,27,0.0506,5.7203
Arriving,Escaping,27,0.0506,3.5857
Social_event,Process_end,27,0.0506,2.1143
Death,Statement,27,0.0506,5.7447
Cause_change_of_strength,Motion,27,0.0506,6.8354
Change_of_leadership,Conquering,27,0.0506,4.7788
Hostile_encounter,Giving,27,0.0506,0.8629
Cause_change_of_strength,Cause_change_of_position_on_a_scale,27,0.0506,6.8354
Control,Attack,26,0.0487,7.3034
Catastrophe,Getting,26,0.0487,0.2344
Motion,Process_end,26,0.0487,2.0046
Coming_to_be,Process_end,26,0.0487,0.7283
Process_start,Attack,26,0.0487,1.9923
Motion,Cause_change_of_position_on_a_scale,26,0.0487,2.0046
Coming_to_be,Expressing_publicly,26,0.0487,0.7283
Killing,Arrest,26,0.0487,2.6667
Hostile_encounter,Presence,26,0.0487,0.8309
Attack,Cause_change_of_strength,26,0.0487,0.6345
Motion_directional,Death,26,0.0487,7.3239
Arriving,Killing,26,0.0487,3.4529
Attack,Hiding_objects,26,0.0487,0.6345
Military_operation,Releasing,26,0.0487,2.9050
Catastrophe,Deciding,26,0.0487,0.2344
Competition,Recording,26,0.0487,1.7461
Coming_to_be,Bringing,26,0.0487,0.7283
Hostile_encounter,Removing,26,0.0487,0.8309
Traveling,Receiving,26,0.0487,2.4276
Catastrophe,Connect,26,0.0487,0.2344
Coming_to_be,Know,25,0.0469,0.7003
Self_motion,Conquering,25,0.0469,3.3201
Competition,Presence,25,0.0469,1.6790
Military_operation,Death,25,0.0469,2.7933
Catastrophe,Request,25,0.0469,0.2253
Cause_change_of_strength,Arriving,25,0.0469,6.3291
Action,Killing,25,0.0469,6.7385
Military_operation,Attack,25,0.0469,2.7933
Arranging,Killing,25,0.0469,3.2765
Motion,Statement,25,0.0469,1.9275
Attack,Change,25,0.0469,0.6101
Hostile_encounter,Change,24,0.0450,0.7670
Process_start,Statement,24,0.0450,1.8391
Coming_to_be,Process_start,24,0.0450,0.6723
Arriving,Conquering,24,0.0450,3.1873
Attack,Response,24,0.0450,0.5857
Attack,Use_firearm,24,0.0450,0.5857
Killing,Destroying,24,0.0450,2.4615
Attack,Writing,24,0.0450,0.5857
Hostile_encounter,Judgment_communication,24,0.0450,0.7670
Terrorism,Check,24,0.0450,4.2105
Competition,Achieve,24,0.0450,1.6118
Attack,Bringing,23,0.0431,0.5612
Cause_change_of_position_on_a_scale,Catastrophe,23,0.0431,5.9126
Military_operation,Removing,23,0.0431,2.5698
Process_start,Death,23,0.0431,1.7625
Attack,Agree_or_refuse_to_act,23,0.0431,0.5612
Killing,Know,23,0.0431,2.3590
Cause_change_of_strength,Becoming,23,0.0431,5.8228
Hold,Process_end,23,0.0431,3.7520
Attack,Change_sentiment,23,0.0431,0.5612
Attack,Change_of_leadership,23,0.0431,0.5612
Catastrophe,Cause_to_amalgamate,23,0.0431,0.2073
Process_start,Getting,23,0.0431,1.7625
Process_start,Hostile_encounter,23,0.0431,1.7625
Conquering,Control,23,0.0431,2.9987
Motion,Self_motion,23,0.0431,1.7733
Catastrophe,Preventing_or_letting,23,0.0431,0.2073
Arriving,Catastrophe,23,0.0431,3.0544
Motion_directional,Killing,22,0.0412,6.1972
Use_firearm,Check,22,0.0412,2.8947
Competition,Statement,22,0.0412,1.4775
Killing,Motion,22,0.0412,2.2564
Arriving,Motion,22,0.0412,2.9216
Self_motion,Catastrophe,22,0.0412,2.9216
Presence,Statement,22,0.0412,3.8801
Creating,Motion,22,0.0412,3.7736
Attack,Sending,22,0.0412,0.5368
Self_motion,Bodily_harm,22,0.0412,2.9216
Hostile_encounter,Bringing,22,0.0412,0.7031
Defending,Attack,22,0.0412,6.8111
Departing,Catastrophe,22,0.0412,9.0535
Traveling,Getting,22,0.0412,2.0542
Conquering,Earnings_and_losses,22,0.0412,2.8683
Military_operation,Damaging,22,0.0412,2.4581
Choosing,Competition,22,0.0412,7.6389
Competition,Receiving,22,0.0412,1.4775
Hostile_encounter,Response,22,0.0412,0.7031
Catastrophe,Confronting_problem,22,0.0412,0.1983
Catastrophe,Filling,22,0.0412,0.1983
Use_firearm,Expressing_publicly,21,0.0394,2.7632
Process_start,Creating,21,0.0394,1.6092
Competition,Action,21,0.0394,1.4103
Coming_to_be,Judgment_communication,21,0.0394,0.5882
Creating,Process_start,21,0.0394,3.6021
Killing,Scrutiny,21,0.0394,2.1538
Attack,Criminal_investigation,21,0.0394,0.5124
Arranging,Motion,21,0.0394,2.7523
Arriving,Destroying,21,0.0394,2.7888
Presence,Destroying,21,0.0394,3.7037
Social_event,Social_event,21,0.0394,1.6445
Motion,Coming_to_be,21,0.0394,1.6191
Besieging,Conquering,21,0.0394,7.9545
Traveling,Expressing_publicly,21,0.0394,1.9608
Social_event,Process_start,21,0.0394,1.6445
Coming_to_be,Perception_active,21,0.0394,0.5882
Catastrophe,Conquering,21,0.0394,0.1893
Change_of_leadership,Change_of_leadership,21,0.0394,3.7168
Sending,Conquering,21,0.0394,7.8652
Terrorism,Judgment_communication,21,0.0394,3.6842
Competition,Bringing,21,0.0394,1.4103
Traveling,Traveling,21,0.0394,1.9608
Competition,Destroying,21,0.0394,1.4103
Process_start,Bodily_harm,20,0.0375,1.5326
Catastrophe,Scouring,20,0.0375,0.1803
Escaping,Conquering,20,0.0375,5.7971
Besieging,Killing,20,0.0375,7.5758
Arriving,Damaging,20,0.0375,2.6560
Attack,Scrutiny,20,0.0375,0.4880
Motion,Earnings_and_losses,20,0.0375,1.5420
Creating,Damaging,20,0.0375,3.4305
Arranging,Conquering,20,0.0375,2.6212
Motion,Becoming,20,0.0375,1.5420
Military_operation,Escaping,20,0.0375,2.2346
Cause_change_of_position_on_a_scale,Cause_change_of_position_on_a_scale,20,0.0375,5.1414
Conquering,Motion,20,0.0375,2.6076
Hostile_encounter,Arrest,20,0.0375,0.6392
Attack,Receiving,20,0.0375,0.4880
Hostile_encounter,Sign_agreement,20,0.0375,0.6392
Terrorism,Legal_rulings,20,0.0375,3.5088
Creating,Creating,20,0.0375,3.4305
Attack,Military_operation,20,0.0375,0.4880
Catastrophe,Achieve,20,0.0375,0.1803
Motion,Reporting,20,0.0375,1.5420
Terrorism,Arrest,20,0.0375,3.5088
Hostile_encounter,Supporting,19,0.0356,0.6072
Use_firearm,Arrest,19,0.0356,2.5000
Traveling,Self_motion,19,0.0356,1.7740
Traveling,Presence,19,0.0356,1.7740
Social_event,Placing,19,0.0356,1.4879
Use_firearm,Use_firearm,19,0.0356,2.5000
Change_of_leadership,Hostile_encounter,19,0.0356,3.3628
Escaping,Arriving,19,0.0356,5.5072
Social_event,Defending,19,0.0356,1.4879
Destroying,Death,19,0.0356,4.0254
Military_operation,Bodily_harm,19,0.0356,2.1229
Testing,Testing,19,0.0356,12.5000
Change_of_leadership,Creating,19,0.0356,3.3628
Destroying,Escaping,19,0.0356,4.0254
Terrorism,Attack,19,0.0356,3.3333
Protest,Statement,19,0.0356,15.9664
Hold,Earnings_and_losses,19,0.0356,3.0995
Hold,Social_event,19,0.0356,3.0995
Coming_to_be,Recovering,19,0.0356,0.5322
Traveling,Placing,19,0.0356,1.7740
Cause_to_make_progress,Cause_change_of_strength,19,0.0356,8.9623
Control,Escaping,18,0.0337,5.0562
Social_event,Becoming,18,0.0337,1.4096
Motion,Action,18,0.0337,1.3878
Cause_change_of_strength,Getting,18,0.0337,4.5570
Motion_directional,Motion,18,0.0337,5.0704
Arranging,Self_motion,18,0.0337,2.3591
Social_event,Getting,18,0.0337,1.4096
Removing,Conquering,18,0.0337,9.4241
Attack,Prison,18,0.0337,0.4392
Agree_or_refuse_to_act,Attack,18,0.0337,6.8966
Motion_directional,Attack,18,0.0337,5.0704
Cause_change_of_position_on_a_scale,Cause_change_of_strength,18,0.0337,4.6272
Process_start,Escaping,18,0.0337,1.3793
Hostile_encounter,Self_motion,18,0.0337,0.5753
Hostile_encounter,Defending,18,0.0337,0.5753
Committing_crime,Legal_rulings,18,0.0337,6.5455
Traveling,Know,18,0.0337,1.6807
Catastrophe,Receiving,18,0.0337,0.1622
Defending,Defending,18,0.0337,5.5728
Process_start,Arriving,18,0.0337,1.3793
Conquering,Hostile_encounter,18,0.0337,2.3468
Hostile_encounter,Convincing,18,0.0337,0.5753
Hold,Getting,18,0.0337,2.9364
Attack,Arranging,18,0.0337,0.4392
Hostile_encounter,Know,18,0.0337,0.5753
Self_motion,Process_end,17,0.0319,2.2576
Motion,Judgment_communication,17,0.0319,1.3107
Process_start,Removing,17,0.0319,1.3027
Control,Hostile_encounter,17,0.0319,4.7753
Motion,Preventing_or_letting,17,0.0319,1.3107
Competition,Know,17,0.0319,1.1417
Motion_directional,Destroying,17,0.0319,4.7887
Sending,Attack,17,0.0319,6.3670
Social_event,Name_conferral,17,0.0319,1.3312
Change_of_leadership,Attack,17,0.0319,3.0088
Arriving,Self_motion,17,0.0319,2.2576
Destroying,Destroying,17,0.0319,3.6017
Getting,Becoming,17,0.0319,5.0296
Committing_crime,Request,17,0.0319,6.1818
Motion,Know,17,0.0319,1.3107
Social_event,Change,17,0.0319,1.3312
Change_of_leadership,Legal_rulings,17,0.0319,3.0088
Killing,Cause_change_of_position_on_a_scale,17,0.0319,1.7436
Presence,Death,17,0.0319,2.9982
Destroying,Bodily_harm,17,0.0319,3.6017
Self_motion,Damaging,17,0.0319,2.2576
Presence,Motion,17,0.0319,2.9982
Protest,Judgment_communication,17,0.0319,14.2857
Choosing,Judgment_communication,17,0.0319,5.9028
Arranging,Terrorism,17,0.0319,2.2280
Process_start,Expressing_publicly,17,0.0319,1.3027
Change_of_leadership,Hindering,17,0.0319,3.0088
Process_start,Cause_change_of_position_on_a_scale,17,0.0319,1.3027
Expressing_publicly,Process_end,17,0.0319,6.9106
Attack,Dispersal,17,0.0319,0.4148
Competition,Cause_to_make_progress,17,0.0319,1.1417
Hostile_encounter,Violence,17,0.0319,0.5433
Damaging,Killing,17,0.0319,6.8273
Creating,Competition,17,0.0319,2.9160
Catastrophe,Cure,17,0.0319,0.1532
Violence,Violence,16,0.0300,3.6782
Conquering,Arriving,16,0.0300,2.0860
Attack,Committing_crime,16,0.0300,0.3904
Killing,Giving,16,0.0300,1.6410
Social_event,Giving,16,0.0300,1.2529
Social_event,Earnings_and_losses,16,0.0300,1.2529
Competition,Preventing_or_letting,16,0.0300,1.0745
Coming_to_be,Preventing_or_letting,16,0.0300,0.4482
Action,Conquering,16,0.0300,4.3127
Process_start,Social_event,16,0.0300,1.2261
Motion,Getting,16,0.0300,1.2336
Hostile_encounter,GiveUp,16,0.0300,0.5113
Testing,Catastrophe,16,0.0300,10.5263
Catastrophe,Expansion,16,0.0300,0.1442
Presence,Catastrophe,16,0.0300,2.8219
Request,Agree_or_refuse_to_act,16,0.0300,3.5011
Arranging,Process_start,16,0.0300,2.0970
Attack,Submitting_documents,16,0.0300,0.3904
Change_of_leadership,Statement,16,0.0300,2.8319
Social_event,Create_artwork,16,0.0300,1.2529
Creating,Hold,16,0.0300,2.7444
Coming_to_be,Departing,16,0.0300,0.4482
Attack,Departing,16,0.0300,0.3904
Conquering,Becoming,16,0.0300,2.0860
Military_operation,Arriving,16,0.0300,1.7877
Military_operation,Surrendering,16,0.0300,1.7877
Attack,Placing,16,0.0300,0.3904
Damaging,Damaging,16,0.0300,6.4257
Catastrophe,Military_operation,16,0.0300,0.1442
Arranging,Hold,16,0.0300,2.0970
Creating,Attack,16,0.0300,2.7444
Competition,Expressing_publicly,16,0.0300,1.0745
Competition,Cause_change_of_position_on_a_scale,16,0.0300,1.0745
Death,Expressing_publicly,16,0.0300,3.4043
Catastrophe,Reforming_a_system,16,0.0300,0.1442
Traveling,Becoming,16,0.0300,1.4939
Military_operation,Name_conferral,16,0.0300,1.7877
Committing_crime,Receiving,15,0.0281,5.4545
Destroying,Conquering,15,0.0281,3.1780
Action,Judgment_communication,15,0.0281,4.0431
Know,Legal_rulings,15,0.0281,4.8544
Competition,Process_start,15,0.0281,1.0074
Earnings_and_losses,Bodily_harm,15,0.0281,4.5872
Earnings_and_losses,Earnings_and_losses,15,0.0281,4.5872
Hostile_encounter,Prison,15,0.0281,0.4794
Hostile_encounter,Recovering,15,0.0281,0.4794
Arriving,Process_end,15,0.0281,1.9920
Process_start,Cause_to_make_progress,15,0.0281,1.1494
Motion,Influence,15,0.0281,1.1565
Process_start,Self_motion,15,0.0281,1.1494
Arranging,Change_event_time,15,0.0281,1.9659
Coming_to_be,Escaping,15,0.0281,0.4202
Getting,Getting,15,0.0281,4.4379
Military_operation,Self_motion,15,0.0281,1.6760
Arriving,Earnings_and_losses,15,0.0281,1.9920
Committing_crime,Arrest,15,0.0281,5.4545
Arrest,Judgment_communication,15,0.0281,7.0423
Besieging,Surrendering,15,0.0281,5.6818
Hold,Becoming,15,0.0281,2.4470
Motion_directional,Arriving,15,0.0281,4.2254
Arranging,Hostile_encounter,15,0.0281,1.9659
Catastrophe,Hiding_objects,15,0.0281,0.1352
Self_motion,Hostile_encounter,15,0.0281,1.9920
Hostile_encounter,Placing,15,0.0281,0.4794
Escaping,Escaping,15,0.0281,4.3478
Motion,Telling,15,0.0281,1.1565
Attack,Quarreling,15,0.0281,0.3660
Getting,Process_end,15,0.0281,4.4379
Hostile_encounter,Receiving,15,0.0281,0.4794
Bodily_harm,Killing,15,0.0281,4.6875
Attack,Recording,15,0.0281,0.3660
Social_event,Preventing_or_letting,15,0.0281,1.1746
Killing,Influence,15,0.0281,1.5385
Traveling,Bodily_harm,15,0.0281,1.4006
Change_of_leadership,Destroying,15,0.0281,2.6549
Judgment_communication,Statement,15,0.0281,6.0976
Violence,Committing_crime,15,0.0281,3.4483
Motion,Motion_directional,15,0.0281,1.1565
Hold,Conquering,15,0.0281,2.4470
Social_event,Cause_to_make_progress,15,0.0281,1.1746
Cause_change_of_strength,Change,15,0.0281,3.7975
Hostile_encounter,Dispersal,15,0.0281,0.4794
Arranging,Process_end,15,0.0281,1.9659
Change_of_leadership,Name_conferral,15,0.0281,2.6549
Placing,Attack,15,0.0281,6.0241
Change_of_leadership,Communication,15,0.0281,2.6549
Cause_to_make_progress,Catastrophe,15,0.0281,7.0755
Traveling,Communication,15,0.0281,1.4006
Judgment_communication,Legal_rulings,14,0.0262,5.6911
Killing,Escaping,14,0.0262,1.4359
Control,Killing,14,0.0262,3.9326
Social_event,Presence,14,0.0262,1.0963
Competition,Sending,14,0.0262,0.9402
Competition,Hostile_encounter,14,0.0262,0.9402
Request,Self_motion,14,0.0262,3.0635
Earnings_and_losses,Attack,14,0.0262,4.2813
Coming_to_be,Hostile_encounter,14,0.0262,0.3922
Attack,Process_start,14,0.0262,0.3416
Process_start,Placing,14,0.0262,1.0728
Know,Attack,14,0.0262,4.5307
